datetime,sint,cost,temp,dew,hum,wspd,vis,pres,mon,tue,wed,thu,fri,sat,sun
2014-01-01 0:00,0,1,-28.7,-33,67,17,16.1,100.59,0,0,1,0,0,0,0
2014-01-01 1:00,0.258819045,0.965925826,-29.5,-33.5,69,15,16.1,100.61,0,0,1,0,0,0,0
2014-01-01 2:00,0.5,0.866025404,-30,-33.9,70,11,16.1,100.67,0,0,1,0,0,0,0
2014-01-01 3:00,0.707106781,0.707106781,-30.5,-34.3,70,11,16.1,100.75,0,0,1,0,0,0,0
2014-01-01 4:00,0.866025404,0.5,-30.6,-34.2,71,8,16.1,100.8,0,0,1,0,0,0,0
2014-01-01 5:00,0.965925826,0.258819045,-32.5,-35.8,73,8,16.1,100.81,0,0,1,0,0,0,0
2014-01-01 6:00,1,-1.61E-16,-35.5,-39.3,69,5,16.1,100.8,0,0,1,0,0,0,0
2014-01-01 7:00,0.965925826,-0.258819045,-35.7,-39.4,70,9,16.1,100.84,0,0,1,0,0,0,0
2014-01-01 8:00,0.866025404,-0.5,-35.8,-39.1,72,9,16.1,100.87,0,0,1,0,0,0,0
2014-01-01 9:00,0.707106781,-0.707106781,-35.7,-39.5,69,0,16.1,100.91,0,0,1,0,0,0,0
2014-01-01 10:00,0.5,-0.866025404,-35.3,-39.3,68,4,16.1,100.98,0,0,1,0,0,0,0
2014-01-01 11:00,0.258819045,-0.965925826,-30.2,-35.1,63,9,16.1,101.03,0,0,1,0,0,0,0
2014-01-01 12:00,-3.22E-16,-1,-28.4,-33.9,60,11,16.1,101.02,0,0,1,0,0,0,0
2014-01-01 13:00,-0.258819045,-0.965925826,-26.4,-32.6,57,11,16.1,100.96,0,0,1,0,0,0,0
2014-01-01 14:00,-0.5,-0.866025404,-24.5,-31.2,55,9,16.1,100.89,0,0,1,0,0,0,0
2014-01-01 15:00,-0.707106781,-0.707106781,-23,-30.1,53,11,16.1,100.83,0,0,1,0,0,0,0
2014-01-01 16:00,-0.866025404,-0.5,-23.2,-29.7,56,11,16.1,100.8,0,0,1,0,0,0,0
2014-01-01 17:00,-0.965925826,-0.258819045,-24,-29.9,59,5,16.1,100.79,0,0,1,0,0,0,0
2014-01-01 18:00,-1,-1.84E-16,-28.2,-32.5,68,5,16.1,100.83,0,0,1,0,0,0,0
2014-01-01 19:00,-0.965925826,0.258819045,-29.5,-32.8,74,8,16.1,100.86,0,0,1,0,0,0,0
2014-01-01 20:00,-0.866025404,0.5,-29.1,-32.4,74,8,16.1,100.9,0,0,1,0,0,0,0
2014-01-01 21:00,-0.707106781,0.707106781,-30.2,-33.7,72,13,16.1,100.89,0,0,1,0,0,0,0
2014-01-01 22:00,-0.5,0.866025404,-29.5,-32.2,78,11,16.1,100.89,0,0,1,0,0,0,0
2014-01-01 23:00,-0.258819045,0.965925826,-33.7,-37.3,71,8,16.1,100.87,0,0,1,0,0,0,0
2014-01-02 0:00,0,1,-33.4,-36.8,72,5,16.1,100.88,0,0,0,1,0,0,0
2014-01-02 1:00,0.258819045,0.965925826,-35.3,-39.1,69,9,16.1,100.86,0,0,0,1,0,0,0
2014-01-02 2:00,0.5,0.866025404,-35.6,-39.4,69,9,16.1,100.81,0,0,0,1,0,0,0
2014-01-02 3:00,0.707106781,0.707106781,-36.9,-41.3,65,11,16.1,100.81,0,0,0,1,0,0,0
2014-01-02 4:00,0.866025404,0.5,-33.1,-36.6,72,13,16.1,100.83,0,0,0,1,0,0,0
2014-01-02 5:00,0.965925826,0.258819045,-33.7,-37.6,69,8,16.1,100.84,0,0,0,1,0,0,0
2014-01-02 6:00,1,-1.61E-16,-33.3,-36.7,72,8,16.1,100.84,0,0,0,1,0,0,0
2014-01-02 7:00,0.965925826,-0.258819045,-38.1,-42,68,8,16.1,100.84,0,0,0,1,0,0,0
2014-01-02 8:00,0.866025404,-0.5,-38.5,-42.8,65,8,16.1,100.84,0,0,0,1,0,0,0
2014-01-02 9:00,0.707106781,-0.707106781,-38,-42.2,66,8,16.1,100.85,0,0,0,1,0,0,0
