"","xgboost","cubist","deepLearning","rf","LSTM","avg","median","real_peak"
"1",2017-01-01 20:00:00,2017-01-01 18:00:00,2017-01-01 20:00:00,2017-01-01 17:00:00,2017-01-01 19:05:00,2017-01-01 18:56:00,2017-01-01 19:40:00,2017-01-01 16:55:00
"2",2017-01-02 12:25:00,2017-01-02 12:00:00,2017-01-02 15:55:00,2017-01-02 12:10:00,2017-01-02 19:55:00,2017-01-02 14:38:00,2017-01-02 20:40:00,2017-01-02 19:30:00
"3",2017-01-03 17:35:00,2017-01-03 19:05:00,2017-01-03 22:15:00,2017-01-03 18:00:00,2017-01-03 20:35:00,2017-01-03 19:31:00,2017-01-03 20:40:00,2017-01-03 19:30:00
"4",2017-01-04 20:20:00,2017-01-04 19:35:00,2017-01-04 19:00:00,2017-01-04 19:35:00,2017-01-04 20:25:00,2017-01-04 19:50:00,2017-01-04 20:40:00,2017-01-04 19:50:00
"5",2017-01-05 21:00:00,2017-01-05 18:55:00,2017-01-05 19:40:00,2017-01-05 20:00:00,2017-01-05 20:00:00,2017-01-05 20:03:00,2017-01-05 20:40:00,2017-01-05 19:55:00
"6",2017-01-06 20:15:00,2017-01-06 20:00:00,2017-01-06 22:00:00,2017-01-06 19:10:00,2017-01-06 20:05:00,2017-01-06 20:25:00,2017-01-06 20:40:00,2017-01-06 18:00:00
"7",2017-01-07 21:05:00,2017-01-07 19:05:00,2017-01-07 17:15:00,2017-01-07 18:00:00,2017-01-07 19:45:00,2017-01-07 19:13:00,2017-01-07 20:40:00,2017-01-07 17:55:00
"8",2017-01-08 17:40:00,2017-01-08 17:55:00,2017-01-08 14:55:00,2017-01-08 11:55:00,2017-01-08 17:50:00,2017-01-08 16:28:00,2017-01-08 19:55:00,2017-01-08 17:45:00
"9",2017-01-09 18:00:00,2017-01-09 21:00:00,2017-01-09 16:55:00,2017-01-09 17:55:00,2017-01-09 20:05:00,2017-01-09 18:54:00,2017-01-09 20:40:00,2017-01-09 19:25:00
"10",2017-01-10 17:45:00,2017-01-10 17:55:00,2017-01-10 22:00:00,2017-01-10 18:10:00,2017-01-10 19:55:00,2017-01-10 19:18:00,2017-01-10 20:40:00,2017-01-10 19:25:00
"11",2017-01-11 17:40:00,2017-01-11 18:55:00,2017-01-11 18:55:00,2017-01-11 20:00:00,2017-01-11 19:55:00,2017-01-11 19:14:00,2017-01-11 20:40:00,2017-01-11 20:20:00
