"","xgboost","cubist","deepLearning","rf","LSTM","avg","median","real_peak"
"1",2017-01-01 17:10:00,2017-01-01 17:30:00,2017-01-01 19:00:00,2017-01-01 19:00:00,2017-01-01 19:00:00,2017-01-01 18:28:00,2017-01-01 19:40:00,2017-01-01 16:55:00
"2",2017-01-02 17:55:00,2017-01-02 19:25:00,2017-01-02 19:50:00,2017-01-02 17:55:00,2017-01-02 20:00:00,2017-01-02 19:09:00,2017-01-02 20:40:00,2017-01-02 19:30:00
"3",2017-01-03 17:50:00,2017-01-03 18:55:00,2017-01-03 18:55:00,2017-01-03 18:00:00,2017-01-03 18:55:00,2017-01-03 18:52:00,2017-01-03 20:40:00,2017-01-03 19:30:00
"4",2017-01-04 17:50:00,2017-01-04 12:00:00,2017-01-04 19:00:00,2017-01-04 17:50:00,2017-01-04 20:10:00,2017-01-04 17:28:00,2017-01-04 20:40:00,2017-01-04 19:50:00
"5",2017-01-05 19:45:00,2017-01-05 18:10:00,2017-01-05 19:55:00,2017-01-05 21:00:00,2017-01-05 19:55:00,2017-01-05 19:54:00,2017-01-05 20:40:00,2017-01-05 19:55:00
"6",2017-01-06 21:00:00,2017-01-06 21:00:00,2017-01-06 21:00:00,2017-01-06 21:00:00,2017-01-06 21:00:00,2017-01-06 20:56:00,2017-01-06 20:40:00,2017-01-06 18:00:00
"7",2017-01-07 20:25:00,2017-01-07 18:05:00,2017-01-07 19:00:00,2017-01-07 19:25:00,2017-01-07 19:45:00,2017-01-07 19:31:00,2017-01-07 20:40:00,2017-01-07 17:55:00
"8",2017-01-08 11:55:00,2017-01-08 17:35:00,2017-01-08 20:35:00,2017-01-08 18:00:00,2017-01-08 20:05:00,2017-01-08 17:36:00,2017-01-08 19:55:00,2017-01-08 17:45:00
"9",2017-01-09 17:45:00,2017-01-09 17:55:00,2017-01-09 18:10:00,2017-01-09 17:55:00,2017-01-09 20:05:00,2017-01-09 18:29:00,2017-01-09 20:40:00,2017-01-09 19:25:00
"10",2017-01-10 20:00:00,2017-01-10 17:55:00,2017-01-10 21:00:00,2017-01-10 16:50:00,2017-01-10 20:05:00,2017-01-10 19:17:00,2017-01-10 20:40:00,2017-01-10 19:25:00
"11",2017-01-11 19:20:00,2017-01-11 18:25:00,2017-01-11 18:55:00,2017-01-11 19:15:00,2017-01-11 19:55:00,2017-01-11 19:19:00,2017-01-11 20:40:00,2017-01-11 20:20:00
"12",2017-01-12 19:20:00,2017-01-12 18:45:00,2017-01-12 20:45:00,2017-01-12 19:00:00,2017-01-12 20:05:00,2017-01-12 19:42:00,2017-01-12 20:40:00,2017-01-12 20:05:00
"13",2017-01-13 17:55:00,2017-01-13 18:10:00,2017-01-13 18:10:00,2017-01-13 17:55:00,2017-01-13 20:05:00,2017-01-13 18:34:00,2017-01-13 20:40:00,2017-01-13 18:05:00
"14",2017-01-14 20:10:00,2017-01-14 17:55:00,2017-01-14 17:55:00,2017-01-14 20:00:00,2017-01-14 19:30:00,2017-01-14 19:20:00,2017-01-14 20:40:00,2017-01-14 18:10:00
"15",2017-01-15 19:20:00,2017-01-15 19:30:00,2017-01-15 19:35:00,2017-01-15 19:00:00,2017-01-15 19:30:00,2017-01-15 19:37:00,2017-01-15 20:40:00,2017-01-15 18:05:00
